wars,from,to,duration,notes,participation, number_participants,who,where,fatalities,url_source,memorials,links
War in Eastern Ukraine,2014,2014,0,This armed conflict is not included in the main source The Polynational War Memorial.,"Ukraine",2,"Europe, Asia",Europe,"4,035",War in Donbass,,http://en.wikipedia.org/wiki/War_in_Donbass
Sectarian Conflict in the Central African Republic,2012,2014,2,"End year and fatalities are based on the list of ongoing armed conflicts (wikipedia). Estimate:  886-2,099 killed overall",Central African Republic,1,Africa,Africa,"2,099",Sectarian Conflict in the Central African Republic,,http://www.war-memorial.net/Sectarian-Conflict-in-the-Central-African-Republic-3.319
South Sudan Civil War,2011,2014,3,End year and fatalities are based on the list of ongoing armed conflicts (wikipedia).  ,South Sudan,1,Africa,Africa,"15,000",South Sudan Civil War,,http://www.war-memorial.net/South-Sudan-Civil-War-3.315
Syrian Civil War,2011,2014,3,"End year and fatalities are based on the list of ongoing armed conflicts (wikipedia).  260,215 killed overall (SOHR estimate)",Syria,1,Asia,Asia,"260,215",Syrian civil war,[2],http://www.war-memorial.net/Syrian-civil-war-3.257
Yemen vs Al-Quaeda,2009,2014,5,"This conflict is ongoing. End year has been updated, but number of deaths refers to The Polynational War Memorial.","Yemen, United States",2,"Asia, North America",Asia,"4,270",Yemen vs Al-Quaeda,,http://www.war-memorial.net/Yemen-vs-Al-Quaeda-3.263
Nigerian Govt vs Boko Haram,2009,2014,5,"This conflict is ongoing. End year has been updated, but number of deaths refers to The Polynational War Memorial.",Nigeria,1,Africa,Africa,"4,627",Nigerian Govt vs Boko Haram,,http://www.war-memorial.net/Nigerian-Govt-vs-Boko-Haram-3.312
Waziristan conflict,2007,2014,7,"This conflict is ongoing. End date has been updated, but number of deaths refers to The Polynational War Memorial.","Pakistan, Afghanistan",2,Asia,Asia,"23,494",Waziristan conflict,,http://www.war-memorial.net/Waziristan-conflict-3.254
Kivu Conflict,2006,2013,7,,"Democratic Republic of the Congo, Rwanda",2,Africa,Africa,"10,105",Kivu Conflict,,http://www.war-memorial.net/Kivu-Conflict-3.262
Iraqi Insurgency,2003,2014,11,"Start year, end year and fatalities are based on the list of ongoing armed conflicts (wikipedia).  184,512 killed overall (www.iraqbodycount.org estimate December 2013)","Iraq, United States, United Kingdom, Australia, South Korea",5,"Asia, North America, Europe",Asia,"184,512",Iraqi Insurgency,[8],http://www.war-memorial.net/Iraqi-Insurgency-3.258
Afghanistan War,2001,2014,13,"This conflict is ongoing. End date has been updated, but number of deaths refers to The Polynational War Memorial.","Afghanistan, United States, United Kingdom, Albania, United Arab Emirates, Ukraine, Turkey, Tonga, Sweden, Spain, Slovenia, Slovakia, Singapore, Romania, Portugal, Poland, Norway, New Zealand, Netherlands, Montenegro, Mongolia, Malaysia, Luxembourg, Lithuania, Latvia, South Korea, Italy, Ireland, Iceland, Hungary, Greece, Germany, Georgia, France, Macedonia, Finland, Estonia, El Salvador, Denmark, Czech Republic, Croatia, Canada, Bulgaria, Bosnia and Herzegovina, Belgium, Azerbaijan, Austria, Australia, Armenia, Bahrain ",50,"Asia, Europe, North America",Asia,"53,925",Afghanistan war,[5],http://www.war-memorial.net/Afghanistan-war-3.253
Al-Qaida vs United States and allies,2001,2013,12,,"United States, United Kingdom, Saudi Arabia, Spain, Indonesia ",5,"Asia, Europe, America",Asia,"7,649",al-Qaida vs USA and allies,[12],http://www.war-memorial.net/al-Qaida-vs-USA-and-allies-3.245
Russia vs Chechnyan Secessionists and the Caucasus Emirate,1994,2013,19,"The location of this conflict is Europe/Asia, because Russia is a transcontinental country which straddles Euroasia",Russia,1,"Euro, Asia","Europe, Asia","23,217",Russia vs Chechnyan Secessionists and the Caucasus Emirate,[7],http://www.war-memorial.net/Russia-vs-Chechnyan-Secessionists-and-the-Caucasus-Emirate-3.235
"Algeria Govt vs Islamic rebels, GIA, AIS, AQIM",1991,2013,22,,Algeria,1,Africa,Africa,"20,533","Algeria Govt vs Islamic rebels, GIA, AIS, AQIM",[1],"http://www.war-memorial.net/Algeria-Govt-vs-Islamic-rebels,-GIA,-AIS,-AQIM--3.231"
Indian Govt vs Maoist Guerillas,1990,2013,23,,India,1,Asia,Asia,"6,854",Indian Govt vs Maoist Guerillas,,http://www.war-memorial.net/Indian-Govt-vs-Maoist-Guerillas-3.320
"India vs Pakistan, Kashmir Dispute",1984,2014,30,"This conflict is ongoing. End year has been updated, but number of deaths refer to The The Polynational War Memorial.","India, Pakistan",2,Asia,Asia,"24,376","India vs Pakistan, Kashmir Dispute",[12],"http://www.war-memorial.net/India-vs-Pakistan,-Kashmir-Dispute--3.228"
Turkey Gov vs Kurdistan Guerilla,1984,2014,30,Turkey straddles Europe and Asia with a political identity that's likewise divided. This is an ongoing conflict. Fatalties estimate are based on The Polynational War Memorial.,Turkey,1,"Euro, Asia","Europe, Asia","28,655",Turkey Gov vs Kurdistan Guerilla (PPK),[1],http://www.war-memorial.net/Turkey-Gov-vs-Kurdistan-Guerilla-(PPK)---3.227
Sudan Govt vs Militias,1983,2014,31,"This conflict is ongoing. End year has been updated, but number of deaths refer to The Polynational War Memorial. Wikipedia fatalities estimate: 178,258_461,520",Sudan,1,Africa,Africa,"97,099",Sudan Government vs Militias,[1],http://www.war-memorial.net/Sudan-Government-vs-Militias-3.222
Somali Civil War,1982,2014,32,"End year and fatailties corrected, based on the list of ongoing armed conflicts (wikipedia)",Somalia,1,Africa,Africa,"500,000",Somalia Civil War,[2],http://en.wikipedia.org/wiki/Somali_Civil_War
Uganda Civil War,1980,2014,34,"This conflict is ongoing. End year has been updated, but number of deaths refers to The Polynational War Memorial.","Uganda, Tanzania, Sudan",3,Africa,Africa,"127,529",Uganda Civil War,[1],http://www.war-memorial.net/Uganda-Civil-War--3.182
Mozambique Govt vs RENAMO and FRELIMO,1977,2013,36,,Mozambique,1,Africa,Africa,"115,889",Mozambique Govt vs RENAMO and FRELIMO,,http://www.war-memorial.net/Mozambique-Govt-vs-RENAMO-and-FRELIMO-3.195
Ethiopia vs Oromia rebels,1977,2014,37,"This conflict is ongoing. End year has been updated, but number of deaths refers to The Polynational War Memorial.",Ethiopia,1,Africa,Africa,"2,735",Ethiopia vs Oromia rebels (OLF),[1],http://www.war-memorial.net/Ethiopia-vs-Oromia-rebels-(OLF)-3.264
Ethiopian Govt vs Ogadeni Rebels,1976,2014,38,"This conflict is ongoing. End year has been updated, but number of deaths refers to The Polynational War Memorial.","Ethiopia, Somalia, Cuba",3,"Africa, South America",Africa,"23,265",Ethiopian Govt vs Ogadeni Rebels - WSLF/ONLF/AIAI,,http://www.war-memorial.net/Ethiopian-Govt-vs-Ogadeni-Rebels---WSLF/ONLF/AIAI-3.176
Philippines Govt vs Mindanao Guerillas,1970,2014,44,"This conflict is ongoing. End year has been updated, but number of deaths refers to The Polynational War Memorial.",Philippines,1,Asia,Asia,"17,393",Philippines Govt vs Mindanao Guerillas,,http://www.war-memorial.net/Philippines-Govt-vs-Mindanao-Guerillas-3.218
Philippine Govt vs CPP Guerrilla,1969,2013,44,,Philippines,1,Asia,Asia,"24,626",Philippine Government vs CPP Guerrilla,,http://www.war-memorial.net/Philippine-Government-vs-CPP-Guerrilla-3.236
Colombia Govt vs Guerillas Farc and ELN,1964,2013,49,,Colombia,1,South America,South America,"26,875",Colombia Govt vs Guerillas Farc and ELN,[3],http://www.war-memorial.net/Colombia-Govt-vs-Guerillas-Farc-and-ELN-3.226
Burmese Govt vs Separatist Guerillas,1949,2014,65,"This conflict is ongoing. End date has been updated, but number of deaths refers to The Polynational War Memorial.",Myanmar,1,Asia,Asia,"49,862",Burmese Government vs Separatist Guerillas,,http://www.war-memorial.net/Burmese-Government-vs-Separatist-Guerillas-3.225
Mexican Drug War,2006,2014,8,End year and fatalities are based on the list of ongoing armed conflicts (wikipedia).,Mexico,1,North America,North America,"150,000",Mexican Drug War,[3],http://en.wikipedia.org/wiki/Mexican_Drug_War
Israel vs Palestine,1949,2014,65,"End year and fatalities are based on the list of ongoing armed conflicts (wikipedia).  21,500 killed overall (estimate December 2013)","Israel, Palestine",2,Asia,Asia,"21,500",Israel vs Palestine,[6],http://www.war-memorial.net/Israel-vs-Palestine-3.217
Libyan Civil War,2011,2011,0,,Libya,1,Africa,Africa,"2,082",Libyan Civil War,[3],http://www.war-memorial.net/Libyan-Civil-War-3.259
Tajikistan Govt vs Opposition,1992,2011,19,,Tajikistan,1,Asia,Asia,"9,145",Tajikistan Govt vs Opposition,,http://www.war-memorial.net/Tajikistan-Govt-vs-Opposition-3.211
Senegal Civil War,1990,2011,21,,Senegal,1,Africa,Africa,"1,657",Senegal Civil War,,http://www.war-memorial.net/Senegal-Civil-War-3.213
Iran vs rebel groups,1979,2011,32,,Iran,1,Asia,Asia,"5,035","Iran vs rebel groups (MEK,PJAK etc)",,"http://www.war-memorial.net/Iran-vs-rebel-groups-(MEK,PJAK-etc)-3.233"
Chad Civil War,1966,2010,44,,"Chad, France, Libya",3,"Africa, Europe",Africa,"36,077",Chad Civil War,,http://www.war-memorial.net/Chad-Civil-War--3.188
Peruvian Govt vs Sendero Luminoso and MRTA,1965,2010,45,,Peru,1,South America,South America,"17,250",Peruvian Gvt vs Sendero Luminoso and MRTA,[1],http://www.war-memorial.net/Peruvian-Gvt-vs-Sendero-Luminoso-and-MRTA--3.221
Sri Lankan Govt vs Tamil Militants,1984,2009,25,,Sri Lanka,1,Asia,Asia,"73,818",Sri Lankan Govt vs Tamil Militants (LTTE),[8],http://www.war-memorial.net/Sri-Lankan-Govt-vs-Tamil-Militants-(LTTE)-3.224
Burundi Civil War,1991,2008,17,,Burundi,1,Africa,Africa,"15,651",Burundi Civil War,[2],http://www.war-memorial.net/Burundi-Civil-War-3.239
Nepal Civil War,1996,2006,10,,Nepal,1,Asia,Asia,"12,274",Nepal Civil War,[1],http://www.war-memorial.net/Nepal-Civil-War-3.251
